Adf,Correlation,Dependent,End_Date,Err_Ratio,Independent,Intercept,Res_errorSD,Slope,Start_Date,Trades,#ProfitTrades,#LossTrades,minProfit,maxLoss,TotalProfit,TradeFile
0.067154441,0.909835456,TVSMOTORS,6/14/2021,0.357775621,ESCORTS,102.0536869,25.54324662,0.15796729699999998,1/1/2021,7,4,3,11,-21,126,TradeResults1
0.104292523,0.909835456,ESCORTS,6/14/2021,0.430551272,TVSMOTORS,-196.9442044,147.1200169,5.240328672,1/1/2021,8,3,5,64,-230,-329,TradeResults2
