,Date,A,B,Slope,intercept,Res_errorSD,Residual,SD
388,1/1/2021,487.9518127,2542.699951,5.240328672,-196.9442044,147.1200169,182.6162807,1.241274196
389,1/4/2021,492.625,2655.699951,5.240328672,-196.9442044,147.1200169,271.1272433,1.842898397
390,1/5/2021,488.8963928,2674.899902,5.240328672,-196.9442044,147.1200169,309.8663215,2.106214559
391,1/6/2021,485.3666077,2645.350098,5.240328672,-196.9442044,147.1200169,298.8137516,2.031088345
392,1/7/2021,496.4530334,2649.800049,5.240328672,-196.9442044,147.1200169,245.1671881,1.666443447
393,1/8/2021,510.4229126,2760.850098,5.240328672,-196.9442044,147.1200169,283.0104786,1.923670787
394,1/11/2021,518.6755981,2777.149902,5.240328672,-196.9442044,147.1200169,256.0634982,1.740507536
395,1/12/2021,515.7921753,2881.649902,5.240328672,-196.9442044,147.1200169,375.6735813,2.553517796
396,1/13/2021,508.4343262,2868.649902,5.240328672,-196.9442044,147.1200169,401.2311289,2.727236833
397,1/14/2021,510.0749207,2886.600098,5.240328672,-196.9442044,147.1200169,410.5840705,2.790810382
398,1/15/2021,504.4074402,2857.300049,5.240328672,-196.9442044,147.1200169,410.9834821,2.793525251
399,1/18/2021,496.8507996,2873,5.240328672,-196.9442044,147.1200169,466.2827135,3.169403616
400,1/19/2021,509.8760681,2883.5,5.240328672,-196.9442044,147.1200169,408.5260255,2.776821497
401,1/20/2021,506.4457397,2881.550049,5.240328672,-196.9442044,147.1200169,424.5521228,2.88575363
402,1/21/2021,506.6943054,2926.600098,5.240328672,-196.9442044,147.1200169,468.2996058,3.183112779
403,1/22/2021,518.973877,2972.600098,5.240328672,-196.9442044,147.1200169,449.9506147,3.058391538
404,1/25/2021,539.6552734,2869.550049,5.240328672,-196.9442044,147.1200169,238.5232511,1.621283468
405,1/27/2021,528.4694824,2789.899902,5.240328672,-196.9442044,147.1200169,217.4903254,1.478319063
406,1/28/2021,526.0831299,2798.449951,5.240328672,-196.9442044,147.1200169,238.5456459,1.621435689
407,1/29/2021,557.5029907,2744.300049,5.240328672,-196.9442044,147.1200169,19.74534645,0.134212508
408,2/1/2021,573.9088745,2842.850098,5.240328672,-196.9442044,147.1200169,32.32317218,0.219706148
409,2/2/2021,617.3597412,2904.850098,5.240328672,-196.9442044,147.1200169,-133.3736504,-0.906563588
410,2/3/2021,641.1730957,2916.899902,5.240328672,-196.9442044,147.1200169,-246.1136508,-1.672876717
411,2/4/2021,651.3480835,2963.449951,5.240328672,-196.9442044,147.1200169,-252.8838821,-1.71889514
412,2/5/2021,626.7585449,2932.149902,5.240328672,-196.9442044,147.1200169,-155.3266669,-1.055782009
