,Entry,EntrySD,ExitDate,ExitReason,ExitSD,LongExitPrice,Long_EntryPrice,Long_Security,Pnl,ShortExitPrice,Short_EntryPrice,Short_Security
0,1/5/2021,2.106214559,1/7/2021,Target,1.666443447,2601.577065,2561.977785,A,64.6991334,2649.800049,2674.899902,B
1,1/12/2021,2.553517796,1/18/2021,StopLoss,3.169403616,2603.661491,2702.920525,A,-90.60913217,2873,2881.649902,B
2,1/19/2021,2.776821497,1/21/2021,StopLoss,3.183112779,2655.244697,2671.918179,A,-59.7735803,2926.600098,2883.5,B
3,2/10/2021,-2.136010125,3/1/2021,StopLoss,-3.194018745,2556.149902,2901.300049,B,-155.6542462,3222.998198,3412.494099,A
4,3/8/2021,-2.47150591,3/10/2021,Target,-1.928397063,2672.300049,2583.25,B,79.90218279,3152.950062,3143.802196,A
5,4/5/2021,-2.362138604,4/7/2021,Target,-1.683326266,2538.199951,2517.199951,B,99.86688258,2982.795144,3061.662027,A
6,4/26/2021,-2.239908787,5/10/2021,StopLoss,-3.81000997,2447.25,2369.850098,B,-230.9933125,3204.722935,2896.329721,A
7,5/28/2021,-2.80069018,6/7/2021,StopLoss,-3.04874233,2754.449951,2638.449951,B,-36.49343649,3399.925178,3247.431742,A
